+-------+-----------------------------+----------+------------------------------------------+
| Index |       Street Address        | Zip Code |               Coordinates                |
+-------+-----------------------------+----------+------------------------------------------+
|   0   |    675 W Peachtree St NW    |  30308   |        (-84.3653476, 33.7723214)         |
|   1   |      575 Morosgo Dr NE      |  30324   | (-84.36760680212853, 33.947980650000005) |
|   2   |     600 Galleria Pky SE     |  30339   |    (-84.46132835769906, 33.88528185)     |
|   3   |     121 Perimeter Ctr W     |  30346   |    (-84.35776495099736, 33.75056735)     |
|   4   |      1100 Abernathy Rd      |  30328   |    (-84.35272550080597, 33.93384315)     |
|   5   |      929-933 White St       |  30310   | (-84.43676187178283, 33.729757199999995) |
|   6   |     3900 N Commerce Dr      |  30344   |     (-84.3872192407913, 33.8614092)      |
|   7   |       201 17th St NW        |  30363   | (-84.39468975049488, 33.791606349999995) |
|   8   |     3017 Bolling Way NE     |  30305   |        (-84.3843949, 33.7551397)         |
|   9   |       8331 Roswell Rd       |  30350   |    (-84.37839749470243, 33.84254235)     |
|  10   |     2302 Parklake Dr NE     |  30345   |        (-84.3880707, 33.8215351)         |
|  11   |      800 Forrest St NW      |  30318   |    (-84.41480024254165, 33.79769245)     |
|  12   |      420 Edgewood Ave       |  30312   | (-84.37387301845956, 33.754531850000006) |
|  13   |    6 W Druid Hills Dr NE    |  30329   |          (-84.31306, 33.815809)          |
|  14   |      144 Moreland Ave       |  30307   |     (-84.34948704320715, 33.7572631)     |
|  15   |        2227 Godby Rd        |  30349   |     (-84.46259419878294, 33.6172189)     |
|  16   |    777 Cleveland Ave SW     |  30315   |     (-84.41482472493033, 33.6817086)     |
|  17   |  1126 Ponce De Leon Avenue  |  30306   | (-84.35050513328565, 33.774038700000006) |
|  18   |   1923 Howell Mill Rd NW    |  30318   |        (-84.4124158, 33.8072998)         |
|  19   |      3006 Clairmont Rd      |  30329   |    (-84.31568402343751, 33.84513645)     |
|  20   | 4395 Fulton Industrial Blvd |  30336   |     (-84.53126120641011, 33.7654381)     |
|  21   |     264 Memorial Dr SE      |  30312   | (-84.37899374140817, 33.747126300000005) |
|  22   |     999 Peachtree St NE     |  30309   |     (-84.38370924058998, 33.7811172)     |
