+------------------------------+-------------------------------------+--------------------+
| Cloud Kitchen Index (Origin) | Service Station Index (Destination) |  Distance (miles)  |
+------------------------------+-------------------------------------+--------------------+
|              1               |                  21                 | 9.708115511420159  |
|              1               |                  28                 | 3.019923901443276  |
|              2               |                  36                 | 21.96355976959482  |
|              2               |                  42                 | 21.367182372070808 |
|              3               |                  4                  | 14.14761127517481  |
|              3               |                  39                 | 13.077533155488503 |
|              4               |                  3                  | 11.499932589285525 |
|              4               |                  13                 | 10.222229030748098 |
|              5               |                  14                 | 18.15327273926194  |
|              5               |                  23                 | 20.635784945563643 |
|              6               |                  37                 | 12.453445082035659 |
|              6               |                  43                 | 14.651112417771985 |
|              7               |                  19                 | 11.245908026931051 |
|              7               |                  27                 | 16.30734544391168  |
|              8               |                  1                  | 12.681677026395338 |
|              8               |                  17                 | 11.858770921123577 |
|              9               |                  22                 | 7.9644742661093835 |
|              9               |                  49                 | 4.723462752743186  |
|              10              |                  7                  | 14.226024055557279 |
|              10              |                  12                 | 13.840840150980243 |
|              11              |                  31                 | 11.106327792735948 |
|              11              |                  34                 | 14.102948909646567 |
|              12              |                  2                  | 3.4223024816250356 |
|              12              |                  5                  | 4.271554720730831  |
|              13              |                  11                 | 11.975986968007442 |
|              13              |                  25                 | 6.693803181655086  |
|              14              |                  16                 | 13.553393105333665 |
|              14              |                  38                 | 12.925105282987186 |
|              15              |                  26                 | 7.052672691350355  |
|              15              |                  44                 | 8.929497306698675  |
|              16              |                  35                 | 23.26453860982362  |
|              16              |                  40                 | 19.220599016189414 |
|              17              |                  30                 | 15.820607378474001 |
|              17              |                  41                 | 15.81685034628687  |
|              18              |                  8                  | 4.3636217505242865 |
|              18              |                  46                 | 10.069580864369541 |
|              19              |                  20                 |  11.786600253341   |
|              19              |                  24                 | 8.955122729172654  |
|              20              |                  32                 | 16.72566627610738  |
|              20              |                  47                 | 14.04854488399863  |
|              21              |                  6                  | 12.327669099082119 |
|              21              |                  10                 | 10.72966795249438  |
|              22              |                  18                 | 8.368257443218015  |
|              22              |                  45                 | 9.777886340479707  |
|              23              |                  29                 | 7.602152883161486  |
|              23              |                  48                 | 4.587750192616002  |
|              24              |                  15                 | 21.132367826285233 |
|              24              |                  33                 |  20.3733340064537  |
|              25              |                  9                  | 8.278219558646475  |
|              25              |                  50                 | 14.610362101058481 |
+------------------------------+-------------------------------------+--------------------+
